PLANE	DESCRIPTION	START	END	STARTDEC	ENDDEC	BLOCK	POINTS	ASSIGNED	SCRIPTS
1	Supplementary Multilingual Plane	HX  10C80	HX  10CFF	68736	68863	Old Hungarian 	128	108	Old Hungarian
1	Supplementary Multilingual Plane	HX  10E60	HX  10E7F	69216	69247	Rumi Numeral Symbols 	32	31	Arabic
1	Supplementary Multilingual Plane	HX  11000	HX  1107F	69632	69759	Brahmi 	128	109	Brahmi
1	Supplementary Multilingual Plane	HX  11080	HX  110CF	69760	69839	Kaithi 	80	66	Kaithi
1	Supplementary Multilingual Plane	HX  110D0	HX  110FF	69840	69887	Sora Sompeng 	48	35	Sora Sompeng
1	Supplementary Multilingual Plane	HX  11100	HX  1114F	69888	69967	Chakma 	80	67	Chakma
1	Supplementary Multilingual Plane	HX  11150	HX  1117F	69968	70015	Mahajani 	48	39	Mahajani
1	Supplementary Multilingual Plane	HX  11180	HX  111DF	70016	70111	Sharada 	96	94	Sharada
1	Supplementary Multilingual Plane	HX  111E0	HX  111FF	70112	70143	Sinhala Archaic Numbers 	32	20	Sinhala
1	Supplementary Multilingual Plane	HX  11200	HX  1124F	70144	70223	Khojki 	80	62	Khojki
1	Supplementary Multilingual Plane	HX  11280	HX  112AF	70272	70319	Multani 	48	38	Multani
1	Supplementary Multilingual Plane	HX  112B0	HX  112FF	70320	70399	Khudawadi 	80	69	Khudawadi
1	Supplementary Multilingual Plane	HX  11300	HX  1137F	70400	70527	Grantha 	128	85	Grantha
1	Supplementary Multilingual Plane	HX  11400	HX  1147F	70656	70783	Newa 	128	92	Newa
1	Supplementary Multilingual Plane	HX  11480	HX  114DF	70784	70879	Tirhuta 	96	82	Tirhuta
1	Supplementary Multilingual Plane	HX  11580	HX  115FF	71040	71167	Siddham 	128	92	Siddham
1	Supplementary Multilingual Plane	HX  11600	HX  1165F	71168	71263	Modi 	96	79	Modi
1	Supplementary Multilingual Plane	HX  11660	HX  1167F	71264	71295	Mongolian Supplement 	32	13	Mongolian
1	Supplementary Multilingual Plane	HX  11680	HX  116CF	71296	71375	Takri 	80	66	Takri
1	Supplementary Multilingual Plane	HX  11700	HX  1173F	71424	71487	Ahom 	64	57	Ahom
1	Supplementary Multilingual Plane	HX  118A0	HX  118FF	71840	71935	Warang Citi 	96	84	Warang Citi
1	Supplementary Multilingual Plane	HX  11A00	HX  11A4F	72192	72271	Zanabazar Square 	80	72	Zanabazar Square
1	Supplementary Multilingual Plane	HX  11A50	HX  11AAF	72272	72367	Soyombo 	96	80	Soyombo
1	Supplementary Multilingual Plane	HX  11AC0	HX  11AFF	72384	72447	Pau Cin Hau 	64	57	Pau Cin Hau
1	Supplementary Multilingual Plane	HX  11C00	HX  11C6F	72704	72815	Bhaiksuki 	112	97	Bhaiksuki
1	Supplementary Multilingual Plane	HX  11C70	HX  11CBF	72816	72895	Marchen 	80	68	Marchen
1	Supplementary Multilingual Plane	HX  11D00	HX  11D5F	72960	73055	Masaram Gondi 	96	75	Masaram Gondi
1	Supplementary Multilingual Plane	HX  12000	HX  123FF	73728	74751	Cuneiform 	1,024	922	Cuneiform
1	Supplementary Multilingual Plane	HX  12400	HX  1247F	74752	74879	Cuneiform Numbers and Punctuation 	128	116	Cuneiform
1	Supplementary Multilingual Plane	HX  12480	HX  1254F	74880	75087	Early Dynastic Cuneiform 	208	196	Cuneiform
1	Supplementary Multilingual Plane	HX  13000	HX  1342F	77824	78895	Egyptian Hieroglyphs 	1,072	1,071	Egyptian Hieroglyphs
1	Supplementary Multilingual Plane	HX  14400	HX  1467F	82944	83583	Anatolian Hieroglyphs 	640	583	Anatolian Hieroglyphs
1	Supplementary Multilingual Plane	HX  16800	HX  16A3F	92160	92735	Bamum Supplement 	576	569	Bamum
1	Supplementary Multilingual Plane	HX  16A40	HX  16A6F	92736	92783	Mro 	48	43	Mro
1	Supplementary Multilingual Plane	HX  16AD0	HX  16AFF	92880	92927	Bassa Vah 	48	36	Bassa Vah
