# File Name: TALLY_HO.txt
# File Size: 31207       
# File Date: 01/01/2026 19:21:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---Malagasy---Tandroy-Mahafaly-Bible	31077	31077	31083
Holy-Bible---Malayalam---1910-Contemporary	31100	31100	31102
Holy-Bible---Malayalam---Contemporary	30949	30949	30950
Holy-Bible---Malayalam---Malayalam-Bible	31097	31097	31099
Holy-Bible---Malayalam---Malayalam-Bible-1910	31093	31093	31094
Holy-Bible---Male---Maale-Bible	30504	30504	30506
Holy-Bible---Manipuri---Meitei-Bible	7928	7928	7930
Holy-Bible---Maori---Maori-Bible	31102	31102	31102
Holy-Bible---Marathi---Marathi-Bible	31092	31092	31094
Holy-Bible---Marathi---Marathi-Indian-Bible	31076	31076	31077
Holy-Bible---Marghi-South---Marghi-South-Bible	5838	5838	5840
Holy-Bible---Matengo---Amatengu-Bible	7957	7957	7959
Holy-Bible---Matumbi---Matumbi-Bible	5616	5616	5616
Holy-Bible---Mbe---Mbe-Bible	8106	8106	8106
Holy-Bible---Mbula-Bwazza---Mbula-Bwazza-Bible	16538	16538	16540
Holy-Bible---Melo---Melo-Bible	7936	7936	7938
Holy-Bible---Mori-Atas---Mori-Atas-Bible	1151	1151	1151
Holy-Bible---Mpoto---Mpoto-Bible	7957	7957	7959
Holy-Bible---Mum---Mum-Bible	1046	1046	1046
Holy-Bible---Munda---Munda-Bible	7957	7957	7959
Holy-Bible---Mwaghavul---Mwaghavul-Bible	3794	3794	3796
Holy-Bible---Mwera---Mwera-Bible	7957	7957	7959
Holy-Bible---Myanmar---Burmese-Common-Bible	29767	29767	29794
Holy-Bible---Myanmar---Burmese-Judson	30982	30982	31103
Holy-Bible---Myanmar---Myanmar-Burmese-Judson	30846	30846	30929
Holy-Bible---Naga-Pidgin---Nagamese-Bible	7957	7957	7959
Holy-Bible---Naga-Tutsa---Tutsa-Naga-Bible	7914	7914	7916
Holy-Bible---Ncane---Ncane-Bible	7948	7948	7951
Holy-Bible---Ndebele---Accessible-Bible	31102	31102	31103
Holy-Bible---Ndebele---Ndebele-Bible	31102	31102	31102
Holy-Bible---Ndendeule---Ndendeule-Bible	7957	7957	7959
Holy-Bible---Ndengereko---Ndengereko-Bible	7949	7949	7956
Holy-Bible---Ndonde-Hamba---Ndonde-Hamba-Bible	1071	1071	1071
Holy-Bible---Ndwewe---Ndwewe-Bible	7957	7957	7959
Holy-Bible---Nend---Mark	635	635	635
Holy-Bible---Nepali---Nepali-Bible	31100	31100	31102
